TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
ods_mariadb_2b,ods_a168_game_info,BASE TABLE
ods_mariadb_2b,ods_a168_game_info_verify,BASE TABLE
ods_mariadb_2b,ods_a168_game_log,BASE TABLE
ods_mariadb_2b,ods_a168_game_parame,BASE TABLE
ods_mariadb_2b,ods_a168_game_result,BASE TABLE
ods_mariadb_2b,ods_a168_game_statistics,BASE TABLE
ods_mariadb_2b,ods_a168_game_tip,BASE TABLE
ods_mariadb_2b,ods_a168_game_transfer,BASE TABLE
ods_mariadb_2b,ods_a168_game_type,BASE TABLE
ods_mariadb_2b,ods_a168_in_out_m,BASE TABLE
ods_mariadb_2b,ods_a168_in_out_m_chip,BASE TABLE
ods_mariadb_2b,ods_a168_ipblacklist,BASE TABLE
ods_mariadb_2b,ods_a168_iphistory,BASE TABLE
ods_mariadb_2b,ods_a168_jackpot,BASE TABLE
ods_mariadb_2b,ods_a168_keyserver_command,BASE TABLE
ods_mariadb_2b,ods_a168_log_age_cash_change,BASE TABLE
ods_mariadb_2b,ods_a168_log_mem_change,BASE TABLE
ods_mariadb_2b,ods_a168_log_realtimebet,BASE TABLE
ods_mariadb_2b,ods_a168_mem_login,BASE TABLE
ods_mariadb_2b,ods_a168_member,BASE TABLE
ods_mariadb_2b,ods_a168_member_category,BASE TABLE
ods_mariadb_2b,ods_a168_member_click_counter,BASE TABLE
ods_mariadb_2b,ods_a168_member_dtl,BASE TABLE
ods_mariadb_2b,ods_a168_member_explosion_setting,BASE TABLE
ods_mariadb_2b,ods_a168_member_odds,BASE TABLE
ods_mariadb_2b,ods_a168_member_partner_account,BASE TABLE
ods_mariadb_2b,ods_a168_member_partner_gamelist,BASE TABLE
ods_mariadb_2b,ods_a168_member_url,BASE TABLE
ods_mariadb_2b,ods_a168_news,BASE TABLE
ods_mariadb_2b,ods_a168_odds_default,BASE TABLE
ods_mariadb_2b,ods_a168_opengame_log,BASE TABLE
ods_mariadb_2b,ods_a168_orderslist,BASE TABLE
ods_mariadb_2b,ods_a168_partner_bng_token,BASE TABLE
ods_mariadb_2b,ods_a168_partner_gamelist,BASE TABLE
ods_mariadb_2b,ods_a168_partner_reportTime,BASE TABLE
ods_mariadb_2b,ods_a168_partner_setting,BASE TABLE
ods_mariadb_2b,ods_a168_partner_transation,BASE TABLE
ods_mariadb_2b,ods_a168_partner_transation_log,BASE TABLE
ods_mariadb_2b,ods_a168_partner_type,BASE TABLE
ods_mariadb_2b,ods_a168_passiplist,BASE TABLE
ods_mariadb_2b,ods_a168_payment_bank,BASE TABLE
ods_mariadb_2b,ods_a168_payment_method,BASE TABLE
ods_mariadb_2b,ods_a168_payment_order,BASE TABLE
ods_mariadb_2b,ods_a168_payment_platform,BASE TABLE
