TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_DEFAULT,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_RedPacketSetup,1,__source_pk,varchar,NO,,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_RedPacketSetup,2,dt,date,NO,,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_RedPacketSetup,3,id,varchar,YES,,source_type=int(11); 
ods_mariadb_2b,ods_a168_RedPacketSetup,4,agent_id,varchar,YES,,source_type=int(11); 代理id
ods_mariadb_2b,ods_a168_RedPacketSetup,5,status,varchar,YES,,"source_type=tinyint(1); 活动状态:0:关闭,1:开启"
ods_mariadb_2b,ods_a168_RedPacketSetup,6,start_time,varchar,YES,,source_type=datetime; 開始活动时间
ods_mariadb_2b,ods_a168_RedPacketSetup,7,end_time,varchar,YES,,source_type=datetime; 結束活动时间
ods_mariadb_2b,ods_a168_RedPacketSetup,8,total_money_updating,varchar,YES,,source_type=tinyint(1); 紅包雨更新鎖
ods_mariadb_2b,ods_a168_RedPacketSetup,9,total_money,varchar,YES,,source_type=int(11); 紅包雨總金額
ods_mariadb_2b,ods_a168_RedPacketSetup,10,single_money_from,varchar,YES,,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup,11,single_money_to,varchar,YES,,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup,12,single_interval,varchar,YES,,"source_type=int(8); 点击红包时间间隔(秒), 0代表无时间间隔"
ods_mariadb_2b,ods_a168_RedPacketSetup,13,single_available_times,varchar,YES,,source_type=int(10); 单次红包雨可领取次数(20211223 不使用rex)
ods_mariadb_2b,ods_a168_RedPacketSetup,14,setting,varchar,YES,,source_type=text; 紅包雨gid配置
ods_mariadb_2b,ods_a168_RedPacketSetup,15,duration,varchar,YES,,source_type=int(10); 持續時間
ods_mariadb_2b,ods_a168_RedPacketSetup,16,need_valid,varchar,YES,,source_type=tinyint(1); 活動獎金是否需要打碼
ods_mariadb_2b,ods_a168_RedPacketSetup,17,need_valid_percent,varchar,YES,,"source_type=int(3); 需打碼時,獎金的%數"
